Название машины;Картинка;Описание;Цена
"
            Mercedes-Benz A-Класс W169 Хетчбэк 5-дв. , 2005 ";https://i.cars.kg/preview/r/xcPc01cMGVPFCpDLOh8qsA/1080x-/20220627/55d44abcf1809972444335d8a4dd7f80.jpg;"
                                    Хэтчбек,
                                        серебряный,
                                        1.7 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,
                                        передний,
                                    ";6666$ 
"
            Mercedes-Benz E-Класс W124 [рестайлинг] , 1988 ";https://i.cars.kg/preview/r/Ek7Q6xinHeVyx-SssKys8w/1080x-/20220625/526d8a59101d739aac360e866ed58934.jpg;"
                                    Универсал,
                                                                                                            ";1946$ 
Название машины;Картинка;Описание;Цена
"
            Mercedes-Benz E-Класс W124 [рестайлинг] , 1987 ";https://i.cars.kg/preview/r/psgvSpbCpEOf-irm6RYSgA/1080x-/20220625/e2c2562f8d6ec7000bab5fa88eef485d.jpg;"
                                    Универсал,
                                                                                                            ";1821$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1993 ";https://i.cars.kg/preview/r/CON8tpEiGaeM7iDJapkqbg/1080x-/20220625/aa982e975cc81348930d52d6642cfb0f.jpg;"
                                    Седан,
                                        серый,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";3140$ 
"
            Mercedes-Benz S-Класс W221 Седан , 2007 ";https://i.cars.kg/preview/r/kbD38Nkfbrm4fYCrXsO4Gg/1080x-/20220624/4b4c113a35f79b7e5496084126a9bbbb.jpeg;"
                                    Седан,
                                        белый,
                                        5.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";11500$ 
"
            Mercedes-Benz Sprinter W906 Микроавтобус 4-дв. , 2010 ";https://i.cars.kg/preview/r/d0UnmPJ1Ukl7StT_AgjLyQ/1080x-/20220624/9c1886688a1f80b08b268564505d2542.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";17500$ 
"
            Mercedes-Benz C-Класс W203/S203/CL203 [рестайлинг] Седан 4-дв. , 2005 ";https://i.cars.kg/preview/r/FvNjJorG-rpdFbLK2mbB_w/1080x-/20220622/6ec5ca6e179adce00d36ed72dd58ba03.jpg;"
                                    Седан,
                                        белый,
                                        1.8 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";450000$ 
"
            Mercedes-Benz GL-Класс , 2010 ";https://i.cars.kg/preview/r/ma7zjqyklLCPlFU2M-qKJg/1080x-/20220622/065f604df8a2ed8d97fa11f0fa26a995.jpg;"
                                    Универсал,
                                                                                                            ";18500$ 
"
            Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000 ";https://i.cars.kg/preview/r/Jy2DlzsfDDypPfHzxpp9JQ/1080x-/20220621/0d035eb4e5048c4b6a0396df4fdceecc.jpg;"
                                    Седан,
                                        серый,
                                        4.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";13500$ 
"
            Mercedes-Benz E-Класс W211/S211 [рестайлинг] Седан 4-дв. , 2006 ";https://i.cars.kg/preview/r/XaZ7Utzq6K91U_sCspGoAg/1080x-/20220617/e4f46c7b73de3a4ff161046c0491bc89.jpg;"
                                    Седан,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";11700$ 
"
            Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003 ";https://i.cars.kg/preview/r/EOVPaHyDDPwa4KoQFAuHSA/1080x-/20220617/2e3dca7a62842f4f68a1f86ffb0ced5c.jpg;"
                                    Седан,
                                        золотой,
                                        4.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";7100$ 
"
            Mercedes-Benz E-Класс W211/S211 Седан , 2003 ";https://i.cars.kg/preview/r/qMQ2E2crzsgbYLtM0A3m4w/1080x-/20220617/902dc89524a5cda9f20e5fd68f33b493.jpg;"
                                    Седан,
                                        белый,
                                        5.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";17500$ 
"
            Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1998 ";https://i.cars.kg/preview/r/ocbhf2EqW6xixe2ZrBqiWA/1080x-/20220617/6e5071e533aaca9767e4ad137642686e.jpeg;"
                                    Седан,
                                                    2.4 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,
                                    ";5000$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1995 ";https://i.cars.kg/preview/r/u8VJ5gJ5BI3AcZ1oIE561g/1080x-/20220616/d540db1dc251e3f0603af47bc718d93c.jpg;"
                                    Седан,
                                        черный,
                                        2.8 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,
                                    ";5300$ 
"
            Mercedes-Benz Sprinter W906 Борт 4-дв. , 2006 ";https://i.cars.kg/preview/r/pUxr0UEM3iMlzhoasRV4PQ/1080x-/20220615/a47c9dffb6efd0a21f8ca57095196dc3.jpg;"
                                    Минивэн / Бус,
                                        белый жемчуг,
                                        2.9 л.,
                                        левый руль,
                                                    механика,
                                                ";10500$ 
"
            Mercedes-Benz Citan W415 Фургон , 2012 ";https://i.cars.kg/preview/r/5GaBCB6wez3t0H0sFDsHKQ/1080x-/20220615/35e9fc2e51f93c7641cd4073b3a8a3f6.jpg;"
                                    Универсал,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        передний,
                                    ";5024$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1993 ";https://i.cars.kg/preview/r/s6Xq103P3ssgHYwpwmI5Rw/1080x-/20220614/3f54a84602637b07da3750d7c7ac820e.webp;"
                                    Седан,
                                        черный,
                                        2.8 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";5778$ 
"
            Mercedes-Benz CLS-Класс C219 Седан 4-дв. , 2005 ";https://i.cars.kg/preview/r/42VCtLQyihXrmJ934IcVig/1080x-/20220614/e48d411929ddcdd91db2f80a753c300b.jpg;"
                                    Седан,
                                        черный,
                                        5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";12000$ 
"
            Mercedes-Benz E-Класс W211/S211 Седан , 2004 ";https://i.cars.kg/preview/r/bKmT_CZ8S6MwqRUOiLqP6A/1080x-/20220614/8374e38d718914357cfdd2dd889a41f3.jpg;"
                                    Седан,
                                        серебряный,
                                        3.2 л.,
                                        левый руль,
                                                    автомат,
                                        передний,
                                    ";8500$ 
"
            Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2002 ";https://i.cars.kg/preview/r/3Q0vHBJjI6PvWBytbOzYbA/1080x-/20220613/66aebd61f293717f3670c96c0b4e84b2.jpg;"
                                    Седан,
                                        черный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";17000$ 
"
            Mercedes-Benz Sprinter W906 , 2012 ";https://i.cars.kg/preview/r/azd1kr2C4FWdC6TWl31BwQ/1080x-/20220613/144f1321e71fa9a6f5251f563bf516d3.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                        2.7 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,
                                    ";20000$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1994 ";https://i.cars.kg/preview/r/F2TsjfntQz35fnTsClvWkA/1080x-/20220612/908abbac32b8884e0c9434736dcba5dc.jpg;"
                                    Седан,
                                        черный,
                                        2.2 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,
                                    ";4396$ 
Название машины;Картинка;Описание;Цена
"
            Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003 ";https://i.cars.kg/preview/r/7J8vIZ_Umx-uaxmWTr7-Ww/1080x-/20220612/9e3219437d3fbcb4550b2f87b8ad46ab.jpeg;"
                                    Седан,
                                        белый жемчуг,
                                        5.0 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";7900$ 
"
            Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1998 ";https://i.cars.kg/preview/r/ji3htFiYIzJJY5X2gkQkgA/1080x-/20220611/bc2509be98d09ed951335e60e3ee650d.jpg;"
                                    Седан,
                                        зеленый,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,
                                    ";4773$ 
"
            Mercedes-Benz C-Класс W204/S204 Седан 4-дв. , 2008 ";https://i.cars.kg/preview/r/7AIIRI4iCGg-epQly8tJAg/1080x-/20220610/fb3bb2f15c4252e14bac3665807aae2a.jpg;"
                                    Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";9800$ 
"
            Mercedes-Benz S-Класс W220 Седан , 1999 ";https://i.cars.kg/preview/r/FT_89vsjX4k6kbaNF1iGfg/1080x-/20220610/c23fe6d6822b171b6ba13f313a995b2c.webp;"
                                    Седан,
                                        синий,
                                        5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";5500$ 
"
            Mercedes-Benz GL-Класс X164 Внедорожник , 2007 ";https://i.cars.kg/preview/r/Ed2RpZLBNMnPPa40xXJV9w/1080x-/20220606/2c7173a289fa978b37b0951c761e9953.jpg;"
                                    Внедорожник / Пикап,
                                        черный,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,
                                    ";16500$ 
"
            Mercedes-Benz C-Класс W202/S202 Седан , 1994 ";https://i.cars.kg/preview/r/BMr8_JziJV8qc7LCmIxVvQ/1080x-/20220605/6f6cbaef235651a3c00ad915f3851e9a.jpg;"
                                    Седан,
                                        черный,
                                        1.8 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";2386$ 
"
            Mercedes-Benz A-Класс W168 Хетчбэк , 1986 ";https://i.cars.kg/preview/r/N15wJjXmDDS2ajWDgFPeQw/1080x-/20220604/24ec65e1fb52fce480a3c1316dcdbd68.jpg;"
                                    Хэтчбек,
                                        дипломат,
                                        2120 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        передний,
                                    ";1884$ 
"
            Mercedes-Benz GLA-Класс X156 AMG кроссовер 5-дв. , 2015 ";https://i.cars.kg/preview/r/Tm4G0RWnZU8r8mtXptn1Tg/1080x-/20220603/23bbbf646c96cab79c0771257251176b.jpeg;"
                                    Кроссовер,
                                        черный,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        типтроник,
                                        полный подключаемый,
                                    ";19000$ 
"
            Mercedes-Benz E-Класс W211/S211 Седан , 2005 ";https://i.cars.kg/preview/r/cZj6NEEnAtJ_6Oyoa5yyAg/1080x-/20220603/d5e60634a7b7039cd0c5fe68fca28bd4.webp;"
                                    Седан,
                                        белый,
                                        2.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";11500$ 
"
            Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 1999 ";https://i.cars.kg/preview/r/3D2f5AA5oDWQKx3ePDcnsw/1080x-/20220603/236c0ba32717ac51a14cbb93099ec548.jpg;"
                                    Седан,
                                        серебряный,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";8000$ 
"
            Mercedes-Benz Sprinter , 1997 ";https://i.cars.kg/preview/r/eQi8qMfp-iFX5zFz5hE4dQ/1080x-/20220530/1365f5f4f91885a931cefb003741df76.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                                    левый руль,
                                                    механика,
                                                ";6800$ 
"
            Mercedes-Benz MERCEDES-BENZ 309, 1990 ";https://i.cars.kg/preview/r/rbOT5xp4LMzc0jtCp6sKcQ/1080x-/20220530/e7f506282f6e3cd44cef3f5329c93532.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                        2998 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                                ";3391$ 
"
            Mercedes-Benz 230, 1987 ";https://i.cars.kg/preview/r/sdL-CLucc3YdIN21wv5mdA/1080x-/20220530/54309b326241465f9577f870a659a43f.jpg;"
                                    Универсал,
                                        голубой,
                                        2.3 л.,
                                        левый руль,
                                        бензин,
                                                    задний,
                                    ";1821$ 
"
            Mercedes-Benz E-Класс W124 Седан 4-дв. , 1987 ";https://i.cars.kg/preview/r/L2WeqPOb9JU3n0DN6Q6v_Q/1080x-/20220529/01ac011b2a1b9bf983f4083373f9d21f.webp;"
                                    Седан,
                                        голубой,
                                        2.3 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,
                                    ";175000$ 
"
            Mercedes-Benz Sprinter W906 Фургон , 2006 ";https://i.cars.kg/preview/r/NaPaEiu51vUso5noKoarXQ/1080x-/20220528/b0f9fcdf8235dbbf6d7f9bc0b0a33f69.jpg;"
                                    Универсал,
                                        белый,
                                        2.7 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";13000$ 
"
            Mercedes-Benz , 2007 ";https://i.cars.kg/preview/r/-RxqymjuQGeYgPbBm09gNA/1080x-/20220528/65d2c370d4541b1c7ca70a2d66ebc962.jpg;"
                                    Седан,
                                                    5.5 л.,
                                                    бензин,
                                                            ";13500$ 
"
            Mercedes-Benz Sprinter , 1997 ";https://i.cars.kg/preview/r/9P65nFJNw5Lg2SlGwbgNSw/1080x-/20220527/e0cedd60ff4833d8c03035e315d4aa54.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                        2.3 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,
                                    ";4396$ 
"
            Mercedes-Benz Vito W639 Микроавтобус 4-дв. , 2009 ";https://i.cars.kg/preview/r/mpfrknVovnqndkX8r_XO_w/1080x-/20220526/20b279e79fe7524caeedd695283d2041.jpeg;"
                                    Минивэн / Бус,
                                        белый,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,
                                    ";11$ 
"
            Mercedes-Benz C-Класс W204/S204 AMG седан 4-дв. , 2008 ";https://i.cars.kg/preview/r/TrdT7dWBtppjLU049vwe3A/1080x-/20220526/07d16c0f2658f4dedcfbd58b13f6087a.jpg;"
                                    Седан,
                                        черный,
                                        2,5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";9000$ 
Название машины;Картинка;Описание;Цена
"
            Mercedes-Benz S-Класс W220 AMG седан 4-дв. , 2002 ";https://i.cars.kg/preview/r/yWq9B5dumQMYOe_ittj9Rg/1080x-/20220526/bddfaaeb15fd757406d6e80cfe86d841.jpeg;"
                                    Седан,
                                        черный,
                                        4.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";10000$ 
"
            Mercedes-Benz E-Класс W211/S211 [рестайлинг] Седан 4-дв. , 2006 ";https://i.cars.kg/preview/r/OX02HpBOEFSkfjU7l8YA1Q/1080x-/20220526/e6ba43dbaf3cd7e4275d76506fab5054.jpeg;"
                                    Седан,
                                        черный,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";7600$ 
"
            Mercedes-Benz Vaneo W414 Минивэн , 2003 ";https://i.cars.kg/preview/r/Ruwg_VkoXukk-Dd7Aikm-w/1080x-/20220526/b96e54ce74ea01c49080696b97965d17.jpeg;"
                                    Минивэн / Бус,
                                        черный,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,
                                    ";4500$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Е500 седан , 1994 ";https://i.cars.kg/preview/r/PNdoNCT05CJJZ86xaYai3A/1080x-/20220525/09aad622c2e7323cd575b51db80cc790.jpeg;"
                                    Седан,
                                        черный,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,
                                    ";6800$ 
"
            Mercedes-Benz , 1994 ";https://i.cars.kg/preview/r/ggWbRFqHUFpe0_IewyMFaw/1080x-/20220524/b2871f3cf6efc86450052a8616ff61e3.jpg;"
                                    Седан,
                                                    2.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";4500$ 
"
            Mercedes-Benz E-Класс W212/S212/C207/A207 [рестайлинг] Седан 4-дв. , 2014 ";https://i.cars.kg/preview/r/G9af3YK9xb6w7yCZOwA3yQ/1080x-/20220524/8c4fdee4d16d38126bd34d2e51d543bb.jpg;"
                                    Седан,
                                        черный,
                                        2000 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,
                                        задний,
                                    ";19000$ 
"
            Mercedes-Benz Sprinter W906 , 2006 ";https://i.cars.kg/preview/r/yzGPPjIJGXnH3T2rF9v_Bw/1080x-/20220524/1f2087b3280c27bc0c3266353f8ae059.jpg;"
                                                оранжевый,
                                        2.7 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";14500$ 
"
            Mercedes-Benz GL-Класс X164 Внедорожник , 2008 ";https://i.cars.kg/preview/r/ZLUe32D3EQw9ZoA2t0EvZw/1080x-/20220523/620e425660627d8e7945ec3318ef8d13.jpeg;"
                                    Внедорожник / Пикап,
                                        черный,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";15000$ 
"
            Mercedes-Benz E-Класс W124 [рестайлинг] 500E седан , 1989 ";https://i.cars.kg/preview/r/ZXuf2MkwGobmlsWiCPtxOQ/1080x-/20220523/53b6ed06597dd00f2acf0358c90f238b.jpg;"
                                    Седан,
                                        серебряный,
                                        2.3 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,
                                    ";2$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1994 ";https://i.cars.kg/preview/r/mFnGWbFSZ7iEteZSWCwKBw/1080x-/20220523/4d31a9fb03a6c73d461ba10e9ac0be60.webp;"
                                    Седан,
                                        черный,
                                        2.8 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";6500$ 
"
            Mercedes-Benz A-Класс W168 Хетчбэк , 2000 ";https://i.cars.kg/preview/r/tJ0t9ZXE9wF3clOKMhBkdw/1080x-/20220523/5ab56d67829483e61deefe15ec884159.jpg;"
                                    Хэтчбек,
                                        серый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,
                                    ";2512$ 
"
            Mercedes-Benz Sprinter W906 Микроавтобус 4-дв. , 2006 ";https://i.cars.kg/preview/r/cdHMbD4ToHIvvc4aycjSxw/1080x-/20220522/233f651ba5760115c689ef55b2a9fead.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                        2.7 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";13500$ 
"
            Mercedes-Benz , 2000 ";https://i.cars.kg/preview/r/GCxkSwXAkfWy-cCHmYWo9g/1080x-/20220521/eb749063402e53a9627e1d7c7a255150.jpg;"
                                    Кроссовер,
                                        смарагд,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";6280$ 
"
            Mercedes-Benz S-Класс W222 / C217 AMG седан 4-дв. , 2015 ";https://i.cars.kg/preview/r/if5MHn30xHTXxh0SUgwttw/1080x-/20220519/e1aaeed187b0349c6cfb5c6555369b73.webp;"
                                    Седан,
                                        черный,
                                        6.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";65000$ 
"
            Mercedes-Benz Sprinter W906 Борт 4-дв. , 2006 ";https://i.cars.kg/preview/r/M5YFobhPb2DG8N8J76O8AA/1080x-/20220519/4bf4b907037ab6e3f60cf05b6f8f0f5d.jpg;"
                                    Внедорожник / Пикап,
                                        белый,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,
                                    ";14500$ 
"
            Mercedes-Benz E-Класс W212/S212/C207/A207 [рестайлинг] Седан 4-дв. , 2013 ";https://i.cars.kg/preview/r/7H5yve5UkCMT6b8tYwDgCA/1080x-/20220518/69f4194cb0c8dc2040f4bc08f48acd00.jpg;"
                                    Седан,
                                        черный,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";17000$ 
"
            Mercedes-Benz E-Класс W210/S210 [рестайлинг] AMG седан 4-дв. , 2001 ";https://i.cars.kg/preview/r/DvpN_8b4VUipOF0DCciVYQ/1080x-/20220518/8ef259bba905bdee11bc203d3500b879.jpg;"
                                    Седан,
                                        черный,
                                        5.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";18000$ 
"
            Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2001 ";https://i.cars.kg/preview/r/mv2d3HuOVjNiBYaImVsDKQ/1080x-/20220517/b024d51bb36834f114d3546bc6281515.jpg;"
                                    Седан,
                                        серебряный,
                                        2.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";5500$ 
"
            Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1996 ";https://i.cars.kg/preview/r/37kdhh67cz_U17rKeZ7-aA/1080x-/20220515/fd36edf78edcba5901426a425f5b0a14.jpg;"
                                    Седан,
                                        серебряный,
                                        4.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";4500$ 
"
            Mercedes-Benz C-Класс W203/S203/CL203 Универсал 5-дв. , 2003 ";https://i.cars.kg/preview/r/9oMA1yms7eknJwyI3JK40g/1080x-/20220515/bde8899f2b4bb2ef253acf8f6305e530.jpg;"
                                    Универсал,
                                        белый,
                                        2590 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";5000$ 
Название машины;Картинка;Описание;Цена
"
            Mercedes-Benz GLC-Класс 1 поколение Внедорожник 5-дв. , 2016 ";https://i.cars.kg/preview/r/HPW5hlWyzjjy2xYxM8ypNw/1080x-/20220515/7938dae265e59b8192d85fae89becba5.jpg;"
                                    Внедорожник / Пикап,
                                        серый,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,
                                    ";95000$ 
"
            Mercedes-Benz E-Класс W123 Седан , 1985 ";https://i.cars.kg/preview/r/0SsXnES21Ds28WYgdDnxVw/1080x-/20220515/a39b114ac629ca946141703dd1f9defe.jpg;"
                                    Седан,
                                        вишневый,
                                        2.3 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,
                                    ";1632$ 
"
            Mercedes-Benz Sprinter W906 , 2010 ";https://i.cars.kg/preview/r/kr9WaxvebEwITmDdFrnxIw/1080x-/20220514/4a0516150ecac94f6e7c62a598122aba.jpeg;"
                                    Универсал,
                                        белый,
                                        2.2 л.,
                                                    дизель,
                                        механика,
                                        задний,
                                    ";13000$ 
"
            Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1998 ";https://i.cars.kg/preview/r/WgKgY3MN1vqRGQc5nKkBWw/1080x-/20220514/2ac303938d750349ee2cbfd05221b907.jpeg;"
                                    Седан,
                                        синий,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";7999$ 
"
            Mercedes-Benz Sprinter W906 Фургон , 2010 ";https://i.cars.kg/preview/r/moB1xt77OZLSLUZvfF8L1g/1080x-/20220513/613b65a62e9925c522be0f3753e74730.jpg;"
                                    Универсал,
                                        красный,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        полный подключаемый,
                                    ";14000$ 
"
            Mercedes-Benz Sprinter W906 Шасси 4-дв. , 2009 ";https://i.cars.kg/preview/r/sEGNasqF6psrWIukai9btg/1080x-/20220513/3ec253083cfebf9196015b39f97dfe50.jpeg;"
                                    Минивэн / Бус,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";14$ 
"
            Mercedes-Benz S-Класс W221 Седан , 2005 ";https://i.cars.kg/preview/r/NQC_tlfiPkHNWCr_EnCcxg/1080x-/20220513/2da36b6e4a131a21a9cf5741c525bfb5.jpeg;"
                                    Седан,
                                        черный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";11000$ 
"
            Mercedes-Benz Sprinter W906 Фургон , 2010 ";https://i.cars.kg/preview/r/KUxJWh_Y2OcF55P5BvAaYw/1080x-/20220512/a1384c328bf8c0e03b368ae693e3b366.jpg;"
                                    Универсал,
                                        голубой,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";18500$ 
"
            Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2002 ";https://i.cars.kg/preview/r/0wsehZ3289jJpeRwKxeE1Q/1080x-/20220512/91cb97414d69c47548672db286c86581.jpeg;"
                                    Седан,
                                        серый,
                                        3.7 л.,
                                                    бензин,
                                        автомат,
                                        задний,
                                    ";6999$ 
"
            Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1997 ";https://i.cars.kg/preview/r/n74p37uOQ1SHDZGgtEriYg/1080x-/20220512/95d5c4a7cb36f07eb0213f17604ea1c4.jpg;"
                                    Седан,
                                        черный,
                                        2.8 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,
                                    ";3500$ 
"
            Mercedes-Benz S-Класс W220 Седан , 2000 ";no photo;"
                                    Седан,
                                        черный,
                                        4.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";6300$ 
"
            Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2002 ";https://i.cars.kg/preview/r/_9F6RvIkhV5Pw_WaCKn_lw/1080x-/20220511/9829e1362707965e9fe10859a8313fe1.jpg;"
                                    Седан,
                                        серебряный,
                                        3.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,
                                    ";6800$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1993 ";https://i.cars.kg/preview/r/jJRTcPqSxmeKCpvUl-Sblg/1080x-/20220510/f3d09c9162d5b573ee0d6777fa136859.webp;"
                                    Седан,
                                        темно-синий,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,
                                    ";340000$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1993 ";https://i.cars.kg/preview/r/jJRTcPqSxmeKCpvUl-Sblg/1080x-/20220510/f3d09c9162d5b573ee0d6777fa136859.webp;"
                                    Седан,
                                        темно-синий,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,
                                    ";340000$ 
"
            Mercedes-Benz E-Класс W210/S210 [рестайлинг] AMG седан 4-дв. , 2002 ";https://i.cars.kg/preview/r/OxEp9cLQ1Fvb9cqbQoyjsA/1080x-/20220510/2d9704ae3bb4c3e666660b6fe5f488b1.jpg;"
                                    Седан,
                                        белый,
                                        5.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";21000$ 
